+---------+------------+--------------+----------------+--------------+-------------+-----------------+------------+--------------+------------------+---------------+----------+----------------+------------------+
|   LAYER | DATE       | VAULTNEWVEST | VAULTTOTALVEST | VAULTPCTVEST | VAULTTOTAL  | SUBSIDYPERLAYER | SUBSIDYNEW | SUBSIDYTOTAL | CIRCULATINGTOTAL | ISSUANCETOTAL | PCTVAULT | PCTCIRCULATING | PCTFINALISSUANCE |
+---------+------------+--------------+----------------+--------------+-------------+-----------------+------------+--------------+------------------+---------------+----------+----------------+------------------+
|       0 | 2023-01-01 |            0 |              0 |        0.00% | 150,000,000 |               0 |          0 |            0 |                0 |   150,000,000 |  100.00% |          0.00% |            6.25% |
|    2016 | 2023-01-08 |            0 |              0 |        0.00% | 150,000,000 |             477 |    962,673 |      962,673 |          962,673 |   150,962,673 |   99.36% |          0.64% |            6.29% |
|    4032 | 2023-01-15 |            0 |              0 |        0.00% | 150,000,000 |             477 |    962,261 |    1,924,935 |        1,924,935 |   151,924,935 |   98.73% |          1.27% |            6.33% |
|    6048 | 2023-01-22 |            0 |              0 |        0.00% | 150,000,000 |             477 |    961,850 |    2,886,785 |        2,886,785 |   152,886,785 |   98.11% |          1.89% |            6.37% |
|    8064 | 2023-01-29 |            0 |              0 |        0.00% | 150,000,000 |             476 |    961,438 |    3,848,224 |        3,848,224 |   153,848,224 |   97.50% |          2.50% |            6.41% |
|   10080 | 2023-02-05 |            0 |              0 |        0.00% | 150,000,000 |             476 |    961,027 |    4,809,251 |        4,809,251 |   154,809,251 |   96.89% |          3.11% |            6.45% |
|   12096 | 2023-02-12 |            0 |              0 |        0.00% | 150,000,000 |             476 |    960,616 |    5,769,867 |        5,769,867 |   155,769,867 |   96.30% |          3.70% |            6.49% |
|   14112 | 2023-02-19 |            0 |              0 |        0.00% | 150,000,000 |             476 |    960,205 |    6,730,072 |        6,730,072 |   156,730,072 |   95.71% |          4.29% |            6.53% |
|   16128 | 2023-02-26 |            0 |              0 |        0.00% | 150,000,000 |             475 |    959,794 |    7,689,866 |        7,689,866 |   157,689,866 |   95.12% |          4.88% |            6.57% |
|   18144 | 2023-03-05 |            0 |              0 |        0.00% | 150,000,000 |             475 |    959,383 |    8,649,250 |        8,649,250 |   158,649,250 |   94.55% |          5.45% |            6.61% |
|   20160 | 2023-03-12 |            0 |              0 |        0.00% | 150,000,000 |             475 |    958,973 |    9,608,223 |        9,608,223 |   159,608,223 |   93.98% |          6.02% |            6.65% |
|   22176 | 2023-03-19 |            0 |              0 |        0.00% | 150,000,000 |             475 |    958,562 |   10,566,786 |       10,566,786 |   160,566,786 |   93.42% |          6.58% |            6.69% |
|   24192 | 2023-03-26 |            0 |              0 |        0.00% | 150,000,000 |             475 |    958,152 |   11,524,938 |       11,524,938 |   161,524,938 |   92.86% |          7.14% |            6.73% |
|   26208 | 2023-04-02 |            0 |              0 |        0.00% | 150,000,000 |             474 |    957,742 |   12,482,681 |       12,482,681 |   162,482,681 |   92.32% |          7.68% |            6.77% |
|   28224 | 2023-04-09 |            0 |              0 |        0.00% | 150,000,000 |             474 |    957,332 |   13,440,014 |       13,440,014 |   163,440,014 |   91.78% |          8.22% |            6.81% |
|   30240 | 2023-04-16 |            0 |              0 |        0.00% | 150,000,000 |             474 |    956,923 |   14,396,937 |       14,396,937 |   164,396,937 |   91.24% |          8.76% |            6.85% |
|   32256 | 2023-04-23 |            0 |              0 |        0.00% | 150,000,000 |             474 |    956,513 |   15,353,451 |       15,353,451 |   165,353,451 |   90.71% |          9.29% |            6.89% |
|   34272 | 2023-04-30 |            0 |              0 |        0.00% | 150,000,000 |             474 |    956,104 |   16,309,556 |       16,309,556 |   166,309,556 |   90.19% |          9.81% |            6.93% |
|   36288 | 2023-05-07 |            0 |              0 |        0.00% | 150,000,000 |             473 |    955,695 |   17,265,251 |       17,265,251 |   167,265,251 |   89.68% |         10.32% |            6.97% |
|   38304 | 2023-05-14 |            0 |              0 |        0.00% | 150,000,000 |             473 |    955,286 |   18,220,538 |       18,220,538 |   168,220,538 |   89.17% |         10.83% |            7.01% |
|   40320 | 2023-05-21 |            0 |              0 |        0.00% | 150,000,000 |             473 |    954,877 |   19,175,416 |       19,175,416 |   169,175,416 |   88.67% |         11.33% |            7.05% |
|   42336 | 2023-05-28 |            0 |              0 |        0.00% | 150,000,000 |             473 |    954,469 |   20,129,885 |       20,129,885 |   170,129,885 |   88.17% |         11.83% |            7.09% |
|   44352 | 2023-06-04 |            0 |              0 |        0.00% | 150,000,000 |             473 |    954,061 |   21,083,947 |       21,083,947 |   171,083,947 |   87.68% |         12.32% |            7.13% |
|   46368 | 2023-06-11 |            0 |              0 |        0.00% | 150,000,000 |             472 |    953,652 |   22,037,599 |       22,037,599 |   172,037,599 |   87.19% |         12.81% |            7.17% |
|   48384 | 2023-06-18 |            0 |              0 |        0.00% | 150,000,000 |             472 |    953,244 |   22,990,844 |       22,990,844 |   172,990,844 |   86.71% |         13.29% |            7.21% |
|   50400 | 2023-06-25 |            0 |              0 |        0.00% | 150,000,000 |             472 |    952,836 |   23,943,681 |       23,943,681 |   173,943,681 |   86.23% |         13.77% |            7.25% |
|   52416 | 2023-07-02 |            0 |              0 |        0.00% | 150,000,000 |             472 |    952,429 |   24,896,110 |       24,896,110 |   174,896,110 |   85.77% |         14.23% |            7.29% |
|   54432 | 2023-07-09 |            0 |              0 |        0.00% | 150,000,000 |             472 |    952,021 |   25,848,132 |       25,848,132 |   175,848,132 |   85.30% |         14.70% |            7.33% |
|   56448 | 2023-07-16 |            0 |              0 |        0.00% | 150,000,000 |             471 |    951,614 |   26,799,747 |       26,799,747 |   176,799,747 |   84.84% |         15.16% |            7.37% |
|   58464 | 2023-07-23 |            0 |              0 |        0.00% | 150,000,000 |             471 |    951,207 |   27,750,954 |       27,750,954 |   177,750,954 |   84.39% |         15.61% |            7.41% |
|   60480 | 2023-07-30 |            0 |              0 |        0.00% | 150,000,000 |             471 |    950,800 |   28,701,754 |       28,701,754 |   178,701,754 |   83.94% |         16.06% |            7.45% |
|   62496 | 2023-08-06 |            0 |              0 |        0.00% | 150,000,000 |             471 |    950,393 |   29,652,148 |       29,652,148 |   179,652,148 |   83.49% |         16.51% |            7.49% |
|   64512 | 2023-08-13 |            0 |              0 |        0.00% | 150,000,000 |             471 |    949,986 |   30,602,135 |       30,602,135 |   180,602,135 |   83.06% |         16.94% |            7.53% |
